7.1733,6.8724,6.5882,6.3209,6.0708,5.8386,5.6254,5.4324,5.2613,5.1137,4.9913
6.7984,6.4703,6.1591,5.8661,5.5925,5.34,5.1106,4.9059,4.7276,4.577,4.4546
6.3905,6.0354,5.7006,5.3883,5.1004,4.8387,4.6048,4.3995,4.2231,4.0749,3.9534
5.9409,5.5798,5.2449,4.9381,4.6607,4.4133,4.1954,4.0041,3.8392,3.7003,3.5863
5.482,5.1446,4.8386,4.563,4.314,4.0921,3.8975,3.7295,3.5864,3.4658,3.3648
5.0681,4.7699,4.4997,4.2582,4.0453,3.8597,3.6995,3.5621,3.4443,3.3427,3.2535
4.7014,4.4453,4.2191,4.0213,3.8497,3.7015,3.5733,3.4617,3.3628,3.2728,3.188
4.4031,4.1986,4.0213,3.8683,3.7362,3.6214,3.5199,3.4279,3.3417,3.2575,3.172
4.1924,4.0381,3.9059,3.7919,3.6922,3.6029,3.5201,3.4403,3.3598,3.2756,3.1849
4.0689,3.9569,3.8605,3.7756,3.6984,3.6251,3.5521,3.4762,3.3945,3.3046,3.2044
4.0218,3.9416,3.8703,3.8041,3.7393,3.6727,3.6012,3.5222,3.4335,3.3333,3.2206
4.0366,3.9788,3.9238,3.8681,3.8085,3.7422,3.667,3.5808,3.4824,3.3708,3.2458
4.0977,4.0513,4.0022,3.9474,3.8844,3.8111,3.7258,3.6274,3.5155,3.3901,3.252
4.1908,4.1453,4.0924,4.0299,3.9559,3.8688,3.7681,3.6534,3.5252,3.3844,3.2331
4.3028,4.2501,4.1864,4.11,4.0197,3.915,3.7961,3.6633,3.5175,3.362,3.2004
4.4223,4.3547,4.2733,4.1772,4.066,3.9399,3.7987,3.6448,3.4818,3.3135,3.1444
4.5399,4.4516,4.3477,4.228,4.0914,3.9394,3.7749,3.6017,3.4239,3.246,3.0727
4.6476,4.5343,4.4035,4.2542,4.0894,3.9123,3.7267,3.537,3.3477,3.1636,2.9893
4.7387,4.5939,4.4302,4.2508,4.059,3.859,3.655,3.4518,3.2541,3.0668,2.8942
4.8017,4.6222,4.4267,4.2186,4.0022,3.782,3.5627,3.3493,3.1463,2.9585,2.7898
4.8326,4.6201,4.3948,4.161,3.9233,3.6866,3.4558,3.2357,3.0307,2.8451,2.6822
4.8319,4.5878,4.3349,4.0779,3.8217,3.5714,3.3319,3.1075,2.9024,2.7201,2.5633
4.8015,4.5291,4.2522,3.976,3.7055,3.4456,3.2009,2.9754,2.7727,2.5953,2.4454
4.744,4.4486,4.1535,3.8638,3.5846,3.3204,3.0754,2.853,2.656,2.4863,2.3451
4.6627,4.3489,4.0402,3.7415,3.4578,3.193,2.9507,2.7338,2.5442,2.3831,2.2508
4.5616,4.2345,3.917,3.6141,3.33,3.0683,2.8318,2.6227,2.442,2.2904,2.1675
4.4448,4.1084,3.7862,3.4825,3.201,2.9446,2.7156,2.5151,2.3437,2.2014,2.0872
4.3162,3.975,3.652,3.3509,3.0749,2.8261,2.6059,2.4151,2.2536,2.1205,2.0147
4.1796,3.8376,3.5172,3.2217,2.9533,2.7138,2.5037,2.3232,2.1715,2.0475,1.9496
4.0384,3.699,3.3842,3.0965,2.8376,2.6084,2.409,2.239,2.097,1.9817,1.8912
3.8956,3.562,3.2554,2.9776,2.7298,2.512,2.324,2.1647,2.0326,1.9258,1.8424
3.7536,3.4281,3.1315,2.8649,2.6288,2.4228,2.2461,2.0972,1.9744,1.8756,1.7987
3.6143,3.2988,3.0134,2.7587,2.5347,2.3405,2.1748,2.0358,1.9217,1.8303,1.7592
3.4794,3.1748,2.9012,2.6587,2.4466,2.2636,2.1083,1.9785,1.8722,1.7872,1.7213
3.3499,3.0569,2.7954,2.5649,2.3643,2.192,2.0461,1.9246,1.8253,1.7459,1.6843
3.2266,2.9456,2.6962,2.4774,2.2877,2.1253,1.9883,1.8743,1.7811,1.7065,1.6486
3.11,2.8412,2.6036,2.396,2.2167,2.0635,1.9344,1.8271,1.7393,1.6689,1.6141
3.0003,2.7434,2.5173,2.3203,2.1506,2.0058,1.8838,1.7822,1.699,1.6322,1.58
2.8977,2.653,2.4385,2.2521,2.0917,1.9552,1.8401,1.7443,1.6657,1.6025,1.5531
2.8019,2.569,2.3653,2.1888,2.0371,1.9079,1.799,1.7082,1.6335,1.5733,1.5264
2.7129,2.4913,2.2978,2.1304,1.9866,1.8641,1.7607,1.6743,1.6031,1.5457,1.5011
2.6303,2.4193,2.2354,2.0763,1.9397,1.8232,1.7245,1.642,1.5738,1.5187,1.4762
2.5537,2.3529,2.178,2.0267,1.8967,1.7855,1.6913,1.6122,1.5468,1.4941,1.4536
2.4829,2.2914,2.1246,1.9803,1.856,1.7496,1.6591,1.5829,1.5198,1.4691,1.4304
2.4174,2.2339,2.074,1.9353,1.8156,1.7126,1.6247,1.5504,1.4888,1.4393,1.4019
2.3567,2.1805,2.0267,1.893,1.7771,1.6771,1.5913,1.5185,1.458,1.4096,1.3734
2.3006,2.1311,1.983,1.8538,1.7414,1.6439,1.5601,1.4888,1.4295,1.3822,1.3475
2.2485,2.0851,1.942,1.8166,1.7072,1.6119,1.5296,1.4595,1.4013,1.3552,1.322
2.2001,2.0414,1.9017,1.7789,1.6711,1.5769,1.495,1.4251,1.367,1.3213,1.2888
2.155,1.9996,1.8622,1.7407,1.6333,1.5389,1.4566,1.3859,1.3272,1.2812,1.2488
2.1128,1.9601,1.8243,1.7035,1.5963,1.5014,1.4182,1.3467,1.2873,1.2408,1.2086
2.0733,1.9221,1.7869,1.6659,1.5578,1.4616,1.3769,1.304,1.2433,1.196,1.1635
2.0361,1.8858,1.7507,1.629,1.5197,1.422,1.3357,1.2611,1.1992,1.1512,1.1184
2.0008,1.8507,1.7149,1.592,1.4808,1.3811,1.2927,1.2163,1.1528,1.1037,1.0705
1.9673,1.8164,1.679,1.5539,1.4403,1.3378,1.2467,1.1679,1.1025,1.052,1.0179
1.9353,1.7831,1.6438,1.5162,1.3998,1.2944,1.2007,1.1195,1.0522,1.0003,0.96526
1.9045,1.7506,1.609,1.4787,1.3593,1.2511,1.1546,1.0711,1.0019,0.9486,0.91281
1.8748,1.7188,1.5746,1.4414,1.3189,1.2077,1.1085,1.0227,0.95171,0.89688,0.86052
1.8459,1.6876,1.5404,1.404,1.2784,1.1641,1.0622,0.97416,0.90139,0.84499,0.80824
1.8177,1.6566,1.5064,1.3667,1.2378,1.1205,1.0159,0.92571,0.85082,0.79308,0.75609
1.7901,1.626,1.4725,1.3294,1.1972,1.0768,0.96965,0.87724,0.80006,0.74121,0.7041
1.7628,1.5955,1.4385,1.2919,1.1563,1.033,0.9233,0.8283,0.74905,0.68925,0.65211
1.7359,1.5652,1.4047,1.2547,1.1159,0.98968,0.87765,0.77983,0.69886,0.6384,0.60141
1.7091,1.5355,1.3719,1.2189,1.0775,0.94908,0.83479,0.73485,0.65292,0.59248,0.55621
1.6825,1.5057,1.339,1.183,1.039,0.90845,0.79139,0.68957,0.60687,0.54656,0.51102
1.6559,1.4759,1.306,1.147,1.0004,0.86743,0.74754,0.64406,0.56076,0.50067,0.46582
1.6292,1.4463,1.2735,1.112,0.96329,0.82767,0.70557,0.60104,0.51766,0.45823,0.42441
1.6026,1.4168,1.2414,1.0775,0.92688,0.78838,0.66453,0.55934,0.47624,0.4177,0.38504
1.5758,1.3871,1.2091,1.043,0.88982,0.74863,0.62326,0.51761,0.43488,0.37726,0.34567
1.549,1.3574,1.1767,1.0085,0.85212,0.70849,0.58183,0.47589,0.39364,0.33694,0.3063
1.522,1.3284,1.146,0.97622,0.81737,0.67243,0.54555,0.44035,0.35952,0.30459,0.27565
1.4949,1.2994,1.1156,0.94375,0.78283,0.63697,0.51026,0.40609,0.32691,0.27387,0.24667
1.4677,1.2704,1.0852,0.91066,0.74791,0.60138,0.47501,0.37201,0.29451,0.24331,0.21768
1.4404,1.2414,1.0543,0.87703,0.71271,0.56572,0.43988,0.33814,0.26235,0.21292,0.1887
1.413,1.2128,1.0237,0.84437,0.6792,0.53244,0.40775,0.30785,0.23424,0.18697,0.16444
1.3856,1.1844,0.99282,0.81196,0.64637,0.50024,0.37705,0.27926,0.20804,0.16303,0.14222
1.3581,1.1555,0.96144,0.77927,0.61349,0.46819,0.34663,0.25101,0.18214,0.13929,0.12
1.3307,1.1259,0.92962,0.74638,0.58063,0.43633,0.31652,0.22311,0.15657,0.11574,0.097778
1.3033,1.0959,0.89784,0.71396,0.54864,0.4057,0.28794,0.19697,0.13289,0.09416,0.07751
1.2754,1.0661,0.86733,0.68383,0.51993,0.37928,0.26445,0.17671,0.11582,0.079826,0.065061
1.2469,1.0359,0.83663,0.65372,0.49144,0.35322,0.24138,0.15688,0.099101,0.065705,0.052612
1.2177,1.0054,0.8058,0.62371,0.46321,0.32755,0.21877,0.1375,0.082752,0.051799,0.040163
1.1881,0.97453,0.77492,0.59385,0.43531,0.30231,0.19665,0.11859,0.066776,0.03811,0.027714
1.158,0.94375,0.74458,0.565,0.40883,0.27888,0.17663,0.10201,0.053307,0.027032,0.017925
1.1275,0.91346,0.71557,0.53828,0.38526,0.25906,0.16086,0.090265,0.045183,0.021755,0.01434
1.0967,0.88309,0.68669,0.51188,0.36214,0.23976,0.14564,0.079016,0.037445,0.016696,0.010755
1.0657,0.85272,0.65802,0.48586,0.33951,0.22103,0.13097,0.068269,0.030093,0.011854,0.0071698
1.0346,0.8224,0.6296,0.46024,0.31741,0.20287,0.11689,0.05803,0.023127,0.0072263,0.0035849
1.0033,0.79221,0.60149,0.43508,0.29586,0.18531,0.10338,0.048302,0.016547,0.0028127,0
0.97202,0.76255,0.57444,0.41149,0.27633,0.17016,0.092621,0.041596,0.013219,0.0018372,0
0.94076,0.73311,0.54779,0.38843,0.2574,0.15564,0.082456,0.035403,0.010273,0.0010713,0
0.90958,0.70395,0.52158,0.36592,0.23909,0.14176,0.072891,0.029722,0.0077065,0.00051264,0
0.87855,0.67511,0.49585,0.34399,0.22143,0.12852,0.06393,0.024552,0.0055157,0.00015867,0
0.8477,0.64664,0.47062,0.32267,0.20443,0.11595,0.055573,0.01989,0.003697,6.7426e-06,0
0.81709,0.61857,0.44593,0.30198,0.18809,0.10403,0.047819,0.015731,0.0022463,0,0
0.78675,0.59095,0.42181,0.28194,0.17243,0.092769,0.040666,0.012073,0.0011592,0,0
0.75675,0.5638,0.39828,0.26255,0.15746,0.082177,0.034112,0.00891,0.00043096,0,0
0.7271,0.53716,0.37536,0.24385,0.14319,0.07225,0.028154,0.0062368,5.6785e-05,0,0
0.69785,0.51105,0.35308,0.22583,0.12961,0.062985,0.022786,0.0040479,0,0,0
0.66904,0.4855,0.33144,0.20851,0.11672,0.054381,0.018002,0.002337,0,0,0
0.64068,0.46054,0.31047,0.19189,0.10454,0.046434,0.013799,0.001098,0,0,0
0.61282,0.43618,0.29018,0.17598,0.093061,0.039139,0.010168,0.00032408,0,0,0
0.58547,0.41244,0.27057,0.16079,0.082277,0.032492,0.0071032,8.6715e-06,0,0,0
0.55867,0.38933,0.25166,0.1463,0.072187,0.026487,0.0045972,0,0,0,0
0.53242,0.36688,0.23345,0.13253,0.062789,0.021116,0.0026425,0,0,0,0
0.50675,0.34509,0.21595,0.11948,0.054076,0.016373,0.0012312,0,0,0,0
0.48168,0.32397,0.19916,0.10714,0.046045,0.012251,0.00035554,0,0,0,0
0.45722,0.30353,0.18308,0.095503,0.038688,0.0087404,7.3277e-06,0,0,0,0
0.43339,0.28378,0.16771,0.084575,0.031998,0.0058342,0,0,0,0,0
0.41019,0.26471,0.15305,0.074348,0.025969,0.0035236,0,0,0,0,0
0.38763,0.24634,0.13911,0.064815,0.020593,0.0017999,0,0,0,0,0
